,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
16:00-17:00,Cekis,0.0,0.0,0.0,0.002,0.003,0.007,0.006,0.006,0.006,0.0,0.0,0.003,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:00-18:00,Veris,0.879,0.704,0.691,0.616,0.69,0.626,0.707,0.687,0.667,1.329,0.688,0.68,1.309,0.746,4.329,2.179,1.46,1.034,0.833,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:00-18:00,Cekis,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00-19:00,Veris,0.839,0.367,0.156,1.433,0.689,0.697,0.647,0.498,0.436,1.155,0.305,0.689,1.235,6.213,4.103,2.014,1.44,1.033,0.833,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00-19:00,Cekis,0.0,0.003,0.005,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00-20:00,Veris,0.837,0.69,0.689,1.442,0.689,0.012,0.0,0.0,0.115,1.352,0.689,0.381,1.308,6.432,4.016,2.108,1.304,1.003,0.826,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00-20:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.006,0.005,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00-21:00,Veris,0.882,0.688,0.689,1.61,0.233,0.698,0.671,0.656,0.688,1.148,0.689,0.534,1.774,5.746,3.927,2.08,1.304,0.985,0.794,0.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00-21:00,Cekis,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00-22:00,Veris,0.855,0.689,0.253,1.623,0.685,0.698,0.688,0.474,0.597,1.124,0.688,0.689,6.655,5.003,3.753,2.008,1.387,1.002,0.792,0.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00-22:00,Cekis,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00-23:00,Veris,0.803,0.689,0.666,1.366,0.683,0.28,0.012,0.001,0.002,0.833,0.688,0.688,7.364,6.425,3.581,1.999,1.387,1.007,0.801,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00-23:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.004,0.007,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00-24:00,Veris,0.813,0.688,0.688,1.01,0.685,0.628,0.631,0.686,0.685,0.911,0.688,0.689,7.298,6.422,3.526,1.993,1.373,1.007,0.803,0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00-24:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
